,alpha,beta,phi,,,,,,,,,,,,,,
,0.8,0.2,0.9182,,,,,,,,,,,,,,
,,,x,,ft,bt,Holt linerModel(additive)(dynamic),static,RMSE,,ft,bt,multiplicative,,ft,bt,Holt damped
,f0,1956,1032,,1046,9,,,,,1046,1.008604207,,,1046,9,
y1,f1,1957,1046,,1047.8,7.56,1055,1055,81,,1047.8,1.007227533,1055,,1047.65276,6.941592,1055
y2,,1958,1055,,1055.072,7.5024,1055.36,1055.36,0.1296,,1055.074602,1.007170575,1055.37301,,1054.805306,6.52952501,1054.594352
,,1959,1052,,1054.11488,5.810496,1062.5744,1062.5744,111.8179354,,1054.128019,1.005557025,1062.640093,,1053.760143,4.587295334,1061.334831
,,1960,1084,,1079.185075,9.66243584,1059.925376,1059.925376,579.5875207,,1079.197167,1.009201997,1059.985835,,1078.79444,8.376502937,1058.347438
,,1961,1124,,1116.969502,15.28683407,1088.847511,1088.847511,1235.69748,,1117.025587,1.014372072,1089.127936,,1116.497149,13.69358587,1087.170942
,,1962,1145,,1142.451267,17.32582027,1132.256336,1132.256336,162.400965,,1142.615912,1.016079526,1133.079559,,1141.81412,15.12215463,1130.190735
,,1963,1190,,1183.955418,22.16148626,1159.777088,1159.777088,913.4244385,,1184.197727,1.020141975,1160.988634,,1183.139856,19.37327722,1156.936275
,,1964,1256,,1246.023381,30.14278166,1206.116904,1206.116904,2488.32329,,1246.409962,1.026620649,1208.049808,,1244.98568,26.59999921,1202.513134
,,1965,1311,,1304.033232,35.71619567,1276.166162,1276.166162,1213.396241,,1304.718041,1.030652683,1279.590203,,1302.68196,31.0785514,1271.585679
,,1966,1333,,1334.349886,34.63628717,1339.749428,1339.749428,45.55478046,,1335.34223,1.029216523,1344.711149,,1332.643657,28.82140018,1333.760511
,,1967,1399,,1392.997235,39.43849952,1368.986173,1368.986173,900.8298231,,1394.071257,1.03216932,1374.356287,,1391.021493,32.84661496,1361.465057
,,1968,1481,,1471.287147,47.20878207,1432.435734,1432.435734,2358.487924,,1472.583516,1.036999193,1438.917581,,1469.036251,39.73076102,1423.868108
,,1969,1522,,1521.299186,47.76943345,1518.495929,1518.495929,12.27851438,,1523.013583,1.03644855,1527.067917,,1518.703407,39.11805904,1508.767012
,,1970,1584,,1581.013724,50.15845437,1569.068619,1569.068619,222.9461319,,1582.905044,1.037023702,1578.525221,,1578.124322,40.61874437,1557.821466
,,1971,1646,,1643.034436,52.53090586,1631.172178,1631.172178,219.8642989,,1645.10201,1.037477547,1641.51005,,1639.884091,42.18885862,1618.743066
,,1972,1696,,1695.913068,52.60045122,1695.565341,1695.565341,0.188928012,,1698.151279,1.036431397,1706.756397,,1692.52438,41.5183059,1682.072949
,,1973,1837,,1819.302704,66.75828809,1748.51352,1748.51352,7829.857228,,1821.60346,1.043684715,1760.017302,,1815.729298,55.1386703,1734.042686
